from\to,Reconnaissance,Resource Development,Initial Access,Execution,Persistence,Privilege Escalation,Defense Evasion,Credential Access,Discovery,Lateral Movement,Collection,Command and Control,Exfiltration,Impact
Reconnaissance,0.5,1.0,0.5,0.3,0.3,0.8,0.7,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Resource Development,0.1,0.5,1.0,0.5,0.3,0.8,0.7,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Initial Access,0.1,0.1,0.5,1.0,0.5,0.8,0.7,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Execution,0.05,0.1,0.1,0.4,1.0,1.0,1.0,1.0,0.3,0.3,0.3,0.3,0.3,0.3
Persistence,0.05,0.05,0.1,0.1,0.5,1.0,0.7,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Privilege Escalation,0.4,0.4,0.4,0.4,0.4,0.5,1.0,0.7,0.7,0.7,0.7,0.7,0.7,0.7
Defense Evasion,0.4,0.4,0.4,0.4,0.4,0.1,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7
Credential Access,0.05,0.05,0.05,0.05,0.05,0.8,0.7,0.5,0.9,0.9,0.8,0.3,0.3,0.3
Discovery,0.05,0.05,0.05,0.05,0.05,0.8,0.7,0.9,0.5,0.9,0.8,0.3,0.3,0.3
Lateral Movement,0.05,0.05,0.05,0.05,0.05,0.8,0.7,0.9,0.9,0.5,1.0,0.5,0.3,0.3
Collection,0.05,0.05,0.05,0.05,0.05,0.8,0.7,0.05,0.1,0.1,0.5,1.0,0.5,0.3
Command and Control,0.05,0.05,0.05,0.05,0.05,0.8,0.7,0.05,0.05,0.1,0.1,0.5,1.0,0.5
Exfiltration,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.05,0.05,0.05,0.1,0.1,0.5,1.0
Impact,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.5
