scenario,tech_lcs_recall,tech_lcs_strict,tech_lcs_lenpen,tac_lcs,step_cov,p_strict,r_strict,f1_strict,p_plaus,r_plaus,f1_plaus,false_chain
metasploit_procdump_lsass_memory_dump,0.3333,0.0455,0.0455,0.0,0.3333,0.0769,0.1429,0.1,0.0769,0.3333,0.125,0
metasploit_logonpasswords_lsass_memory_dump,0.3333,0.0,0.0385,0.0,0.3333,0.0667,0.1667,0.0952,0.0769,0.3333,0.125,0
empire_uac_shellapi_fodhelper_2020-09-04032946,0.5,0.0556,0.0556,0.0,1.0,0.2857,0.6667,0.4,0.2857,0.6667,0.4,0
empire_invoke_runas_2019-05-18204300,0.5,0.0435,0.0435,0.0,0.5,0.2,0.25,0.2222,0.2,0.3333,0.25,0
cmd_service_mod_fax_2020-10-2120454410,0.6667,0.6667,0.6667,0.0,0.6667,0.5,0.3333,0.4,0.5,0.3333,0.4,0
empire_wmi_local_event_subscriptions_elevated_user_2020-09-04164306,1.0,0.0171,0.0171,0.0,1.0,0.2143,1.0,0.3529,0.2727,1.0,0.4286,0
empire_schtasks_creation_execution_elevated_user_2020-09-21175806,0.3333,0.0167,0.0167,0.0,1.0,0.1667,1.0,0.2857,0.1667,1.0,0.2857,0
empire_persistence_registry_modification_run_keys_elevated_user_2020-07-22001847,0.5,0.1429,0.1429,0.0,0.5,0.3333,0.5,0.4,0.3333,0.5,0.4,0
covenant_persistwmi_2019-12-05044734,1.0,0.0556,0.1111,0.0,1.0,0.25,0.3333,0.2857,0.5,0.6667,0.5714,0
cmd_userinitmprlogonscript_batch_2020-10-1922471810,0.5,0.5,0.5,0.0,0.5,1.0,0.6667,0.8,1.0,0.6667,0.8,0
purplesharp_ad_playbook_I_2020-10-22042947,0.25,0.0,0.0222,0.0,0.25,0.0833,0.1429,0.1053,0.0833,0.25,0.125,0
empire_wmi_dcerpc_wmi_IWbemServices_ExecMethod_2020-09-21001437,0.5,0.0625,0.0625,0.0,0.5,0.1429,0.3333,0.2,0.1429,0.3333,0.2,0
empire_psremoting_stager_2020-09-20170827,0.5,0.0714,0.0714,0.0,0.5,0.2,0.3333,0.25,0.2,0.5,0.2857,0
empire_psexec_dcerpc_tcp_svcctl_2020-09-20121608,0.5,0.0769,0.0769,0.0,1.0,0.2857,0.6667,0.4,0.2857,1.0,0.4444,0
covenant_psremoting_command_2020-08-06115603,0.5,0.0455,0.0455,0.0,0.5,0.2,0.3333,0.25,0.2,0.5,0.2857,0
psh_python_webserver_2020-10-2900161507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
psh_powershell_httplistener_2020-11-0204130683,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1
empire_launcher_vbs_2020-09-04160940,0.5,0.1429,0.1429,0.0,1.0,0.2,0.3333,0.25,0.2,1.0,0.3333,0
cmd_sharpview_pcre_net_2020-10-2920232423,0.5,0.0,0.25,0.0,0.5,0.0,0.0,0.0,0.25,0.3333,0.2857,0
empire_shell_samr_EnumDomainUsers_2020-09-21193527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
empire_shell_net_local_users_2020-09-21192606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
empire_getsession_dcerpc_smb_srvsvc_NetSessEnum_2020-09-22034513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
empire_find_localadmin_smb_svcctl_OpenSCManager_2020-09-22021559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
cmd_seatbelt_group_user_2020-11-0216391814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
psh_cmstp_execution_bypassuac_2020-10-2201543213,0.5,0.25,0.25,0.0,0.5,0.6667,0.6667,0.6667,0.6667,0.6667,0.6667,0
empire_dllinjection_LoadLibrary_CreateRemoteThread_2020-07-22000048,0.5,0.05,0.05,0.0,1.0,0.1429,0.3333,0.2,0.2857,1.0,0.4444,0
cmd_wevtutil_modify_security_eventlog_path,0.5,0.0,0.3333,0.0,0.5,0.3333,0.25,0.2857,0.3333,0.3333,0.3333,0
cmd_stop_event_logging_controlset001_minint_key,0.5,0.2,0.2,0.0,0.5,0.2,0.25,0.2222,0.2,0.3333,0.25,0
cmd_process_herpaderping_mimiexplorer_2020-10-2623583501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
psh_lsass_memory_dump_comsvcs_2020-10-18T19500924,0.5,0.5,0.5,0.0,0.5,0.5,0.25,0.3333,0.5,0.3333,0.4,0
empire_shell_rubeus_asktgt_createnetonly_2020-09-21230246,0.5,0.0588,0.0588,0.0,0.5,0.25,0.5,0.3333,0.3333,0.6667,0.4444,0
empire_mimikatz_logonpasswords_2020-08-07103224,0.5,0.0667,0.0667,0.0,0.5,0.25,0.3333,0.2857,0.25,0.5,0.3333,0
cmd_sam_copy_esentutl_2020-10-1900290001,0.5,0.3333,0.3333,0.0,0.5,0.5,0.3333,0.4,0.5,0.5,0.5,0
cmd_dumping_ntds_dit_file_ntdsutil,0.5,0.0833,0.0833,0.0,0.5,0.2,0.25,0.2222,0.2,0.5,0.2857,0
msf_record_mic_2020-06-09225055,0.3333,0.0833,0.0833,0.0,0.6667,0.4,0.3333,0.3636,0.4,0.6667,0.5,0
